"id"	"title"	"link"	"price"	"description"	"condition"	"image_link"	"category"
"VLR1068 "	"Pink Sapphire Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8998/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"159.0000"	"This simple pendant features a oval shaped pink sapphire gemstone in a 4 prong setting surrounded by bezel set brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//v/l/vlr1068a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"S45664B "	"Blue Topaz Diamond Designer Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/8999/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"369.0000"	"A beautiful oval shaped checkerboard cut blue topaz gemstone sits in the center surrounded by brilliant round cut diamonds in a prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//s/4/s45664ba.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"P6559 "	"Blue Topaz Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9000/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"599.0000"	"An amazing designer trilliant cut blue topaz gemstone sits in the center surrounded by bright brilliant round cut diamonds in a prong setting. The color of the diamonds are G/H and the clarity is VS2/SI1. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/6/p6559a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"P6559P "	"Pink Topaz Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9001/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"849.0000"	"This pendant makes a stunning addition to any jewelry collection! An amazing designer trilliant cut pink topaz gemstone sits in the center surrounded by dazzling brilliant round cut diamonds in a prong setting. The color of the diamonds are G/H and the clarity is VS2/SI1. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/6/p6559pa.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"P0371 "	"Green Garnet Diamond Square Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9002/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"779.0000"	"This simple design features brilliant round cut diamonds and green garnet gemstones in a prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/0/p0371a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"P4759 "	"Green Garnet Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9003/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"449.0000"	"Show the one you love how much you care with this fancy pendant. The pendant features beautiful brilliant round cut diamonds and green garnet gemstones in a prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/4/p4759a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Heart Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"GP0577P "	"Pink Sapphire Diamond Designer Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9004/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"389.0000"	"This elegant design features an oval shaped pink sapphire gemstone sitting in a 4 prong setting surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//g/p/gp0577pa.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"P6567P "	"Pink Tourmaline Diamond Designer Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9005/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"789.0000"	"This stunning design features a radiant cut genuine pink tourmaline gemstone in a lovely 4 prong setting surrounded by brilliant round cut diamonds. The color of the diamonds are G/H and the clarity is SI1/SI2. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/6/p6567pa.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"P0016009 "	"Mother Of Pearl Diamond Heart Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9006/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"309.0000"	"Show the one you love how much you care with this fancy pendant. The pendant features beautiful brilliant round cut diamonds surrounding a large mother of pearl shell. The color of the diamonds are G/H and the clarity is SI2/SI3.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/0/p0016009a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Heart Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"PB1562 "	"Pearl Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9007/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"99.0000"	"This simple pendant features a lovely round white pearl surrounded by brilliant round cut diamonds in a prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/b/pb1562a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Pendants "
"PB2100 "	"Purple Amethyst Citrine Diamond Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9009/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"109.0000"	"This simple pendant features round and princess cut purple amethyst with a brilliant round cut diamond in the center. The pendant also features a marquise cut citrine gemstone in a 2 prong setting. The color of the diamond is G/H and the clarity is SI2/SI3.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/b/pb2100a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants>Root Catalog>Womens>Pearl Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Diamond Jewelry>Root Catalog>Womens>Pearl Jewelry>Pearl Pendants "
"S15258 "	"Multi Colored Gemstone Diamond Flower Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9010/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"509.0000"	"This beautiful design features brilliant round cut gemstones in a cluster flower setting. The pendant also features round cut diamonds in a prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace.
"	"new"	"http://www.avianneandco.com/store/media/catalog/product//s/1/s15258a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"PSC6886B "	"Blue Topaz Pink Tourmaline Diamond Designer Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9011/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"339.0000"	"This elegant design features a large and noticeable designer cut blue topaz gemstone surrounded by brilliant round cut diamonds. The pendant also features a lovely princess cut pink tourmaline gemstone in a 4 prong setting. The color of the diamonds are G/H and the clarity is SI1/SI2. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/s/psc6886ba.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"P2629 "	"Pink Sapphire Diamond Designer Gemstone Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9080/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"599.0000"	"This amazing design features a lovely frames covered with brilliant round cut diamonds on each side. The pendant also features round cut pink sapphire gemstones in a prong setting. The color of the diamonds are G/H and the clarity is SI2/SI3. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p2629a.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
"P1837SP "	"Sapphire Diamond Gemstone Cross Pendant in White Gold"	"http://www.avianneandco.com/store/catalog/product/view/id/9108/s/chocolate-pearl-black-diamond-gemstone-pendant-in-rose-gold/"	"1789.0000"	"This lovely cross pendant features a row of brilliant round cut diamonds around the edges. The pendant also features a 2 sided cross in the center with princess cut sapphires and diamonds in a invisible setting. The color of the diamonds are H/I and the clarity is I1/I2. *This pendant comes with a free 18 inch silver necklace."	"new"	"http://www.avianneandco.com/store/media/catalog/product//p/1/p1837spa.jpg"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Crosses >Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"
