"Category ID"	"Manufacturer"	"Title"	"Description"	"Product URL"	"Image URL"	"SKU"	"Availability"	"Condition"	"Price"	"category"	"link"	"image_link"
"Diamond Bracelet"	"Pave"	"14K White Gold Womens Diamond Bracelet 0.55 Ctw"	"This exquisite womens diamond bracelet is crafted in highly polished 14K White Gold. Numerous small round cut diamonds are carefully placed across the bracelet. It securely locks with a toggle clasp which is also pave set with small round cut diamonds. This elegant womens diamond bracelet is an ideal accessory for an every day casual wear."	"14k-white-gold-womens-diamond-bracelet-0-55-ctw.html"	"/t/1/t12157d-1.jpg"	"T12157D"	"Enabled"	"new"	"615.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1629/s/14k-white-gold-womens-diamond-bracelet-0-55-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//t/1/t12157d-1.jpg"
"Diamond Bracelet"	"Channel "	"14K Two Tone Womens Diamond Bracelet 1.00 Ctw"	"This elegant womens diamond bracelet is crafted in both 14K white and yellow gold. Small baguette cut diamonds are carefully channel set across the 7 1/2 Inch bracelet. The frame of this two tone womens diamond bracelet  locks with a durable slide in clasp with one safety latch on the side. "	"14k-two-tone-womens-diamond-bracelet-1-00-ctw.html"	"/b/r/br12-1.jpg"	"BR12"	"Enabled"	"new"	"470.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1630/s/14k-two-tone-womens-diamond-bracelet-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br12-1.jpg"
"Diamond Bracelet"	"Prong"	"14K Yellow Gold Womens Diamond Tennis Bracelet 1.25 Ctw"	"This elegant womens diamond tennis bracelet is crafted in highly polished 14K Yellow Gold. The links are prong set with small round cut diamonds which are carefully placed across the bracelet. this featured diamond tennis bracelet locks with a durable slide in clasp with one safety latch from the side. "	"14k-yellow-gold-womens-diamond-bracelet-1-00-ctw-2.html"	"/b/r/br1254-1_3.jpg"	"BR1254"	"Enabled"	"new"	"1334.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets>Root Catalog>Womens>Bracelets>Diamond Tennis Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1631/s/14k-yellow-gold-womens-diamond-bracelet-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br1254-1_3.jpg"
"Diamond Bracelet"	"Bezel "	"14K White Gold Womens Diamond Bracelet 1.00 Ctw"	"This unique womens diamond bracelet is crafted in highly polished 14K White Gold. Small round cut diamonds are bezel set across the frame. This one of a kind womens diamond bracelet is an ideal accessory for an every day casual wear. "	"14k-white-gold-womens-diamond-bracelet-1-00-ctw-3.html"	"/b/s/bs1040-1.jpg"	"BS1040"	"Enabled"	"new"	"709.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/1954/s/14k-white-gold-womens-diamond-bracelet-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/s/bs1040-1.jpg"
"Diamond Bracelet"	"Prong "	"14K White Gold Womens Diamond Tennis Bracelet 5.50 Ctw"	"This exquisite womens diamond tennis bracelet is crafted in highly polished 14K White Gold. Round cut diamonds are prong set across the 7 1/4 Inch frame. For extra security, this womens diamond bracelet locks with a slide in clasp and a safety latch. "	"14k-white-gold-womens-diamond-bracelet-5-50-ctw.html"	"/b/r/br132-1.jpg"	"BR132"	"Enabled"	"new"	"959.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets>Root Catalog>Womens>Bracelets>Diamond Tennis Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2039/s/14k-white-gold-womens-diamond-bracelet-5-50-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br132-1.jpg"
"Diamond Bracelet"	"Prong "	"14K White Gold Womens Diamond Bracelet 1.33 Ctw"	"This lovely womens diamond bracelet is prong set with brilliant small round cut diamonds. The frame is crafted in highly polished 14K white gold and securely locks with a slide in clasp with one safety latch. This simple yet elegant womens diamond bracelet is an ideal addition to your diamond collection. "	"14k-white-gold-womens-diamond-bracelet-1-33-ctw.html"	"/b/1/b17418-2.jpg"	"B7418"	"Enabled"	"new"	"1374.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2043/s/14k-white-gold-womens-diamond-bracelet-1-33-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/1/b17418-2.jpg"
"Diamond Bracelet"	"Bezel, Pave"	"14K White Gold Womens Diamond Bracelet 0.50 Ctw"	"This uniquely designed womens diamond bracelet is crafted in highly polished 14K White Gold. The frame is bezel set with brilliant small round cut diamonds. The heart and the lobster claw clasp are pave set with small round cut diamonds. This finely detailed womens diamond bracelet gleams with beauty and sophistication."	"14k-white-gold-womens-diamond-bracelet-0-50-ctw.html"	"/b/s/bsc4316a-2.jpg"	"BSC4316A"	"Enabled"	"new"	"542.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2044/s/14k-white-gold-womens-diamond-bracelet-0-50-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/s/bsc4316a-2.jpg"
"Diamond Bracelet"	"Pave "	"14K White Gold Womens Diamond Bracelet 0.23 Ctw"	"This exquisite womens diamond bracelet is adorned with brilliant round cut diamonds. The artistically designed 14K White Gold frame securely locks with a hidden slide in clasp. This one of a kind womens diamond bracelet is an ideal  accessory for a special night out."	"14k-white-gold-womens-diamond-bracelet-0-23-ctw.html"	"/b/s/bsc8518-2.jpg"	"BSC8518"	"Enabled"	"new"	"1209.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2047/s/14k-white-gold-womens-diamond-bracelet-0-23-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/s/bsc8518-2.jpg"
"Diamond Bracelet"	"Pave"	"14K White Gold Womens Diamond Bracelet 0.53 Ctw"	"This uniquely designed womens diamond bracelet is adorned with brilliant small round cut diamonds which are carefully placed on pave settings. The 14K White Gold frame measures to approximately 7 1/4 in in length and securely locks with a slide in clasp and two safety latches from opposite sides. This ideal womens diamond bracelet is a perfect accessory for an every day apparel. "	"14k-white-gold-womens-diamond-bracelet-0-53-ctw.html"	"/s/9/s9345a-2.jpg"	"S9345A"	"Enabled"	"new"	"714.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2048/s/14k-white-gold-womens-diamond-bracelet-0-53-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//s/9/s9345a-2.jpg"
"Diamond Bracelet"	"Pave"	"14K White Gold Womens Diamond Bracelet 0.63 Ctw"	"This elegant womens diamond bracelet is crafted in highly polished 14k White Gold. The frame is pave set with numerous small round cut diamonds which are held by pave settings. This one of a kind womens diamond bracelet securely locks with a hidden slide in clasp and two safety latches. "	"14k-white-gold-womens-diamond-bracelet-0-63-ctw.html"	"/b/s/bsc8120-2.jpg"	"BSC8120"	"Enabled"	"new"	"1185.0000"	"Root Catalog>Womens>Root Catalog>Womens>Bracelets>Root Catalog>Womens>Bracelets>Women's Diamond Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/2049/s/14k-white-gold-womens-diamond-bracelet-0-63-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//b/s/bsc8120-2.jpg"
