"Mfr Part # "	"Manufacturer"	"Product URL"	"Image URL"	"Product Title"	"Product Description"	"Category"	"Price"	"Condition"	"MSRP"	"category"	"link"	"image_link"
"ER0338YR"	"Enabled"	"14k-yellow-gold-unisex-earrings-1-27-ctw.html"	"/E/R/ER0338Y_1.JPG"	"14K Rose Gold Cluster Yellow Diamond Stud Earrings 1.27 Ctw "	"These cluster diamond earring studs are crafted in highly polished 14K rose gold. Each earring  holds seven brilliant yellow round cut diamonds on a prong setting. Lovely in appearance, these beautiful studs  total to 1.27 carats and weigh approximately 3 grams. These are are ideal for both men and women. "	"Diamond Earring"	"919.0000"	"new"	"2750.0000"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/256/s/14k-yellow-gold-unisex-earrings-1-27-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0338Y_1.JPG"
"ER0227"	"Enabled"	"14k-white-gold-unisex-earrings-0-55-ctw.html"	"/E/R/ER0227_1.JPG"	"14K White Gold Yellow Diamond Stud Earrings 0.55 Ctw "	"These simple yet very appealing diamond earring studs are crafted in 14k white gold. Four yellow princess cut diamonds are invisibly set in the center of each earring. Totaling to 2.3 grams, these earrings carry a total weight of 0.55 carats. Ideal men and women studs at an affordable price. "	"Diamond Earring"	"234.0000"	"new"	"700.0000"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/257/s/14k-white-gold-unisex-earrings-0-55-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0227_1.JPG"
"ER0226"	"Enabled"	"14k-white-gold-unisex-earrings-0-51-ctw.html"	"/E/R/ER0226_2.JPG"	"14K White Gold Yellow Diamond Stud Earrings 0.51 Ctw "	"These simple yet very appealing diamond stud earrings are crafted in 14k white gold. Four yellow princess cut diamonds are invisibly set in the center of each earring. Totaling to 2.3 grams, these earrings carry a total weight of 0.51 carats. These affordable studs are ideal for both men and women. "	"Diamond Earring"	"359.0000"	"new"	"1075.0000"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/258/s/14k-white-gold-unisex-earrings-0-51-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/R/ER0226_2.JPG"
"P0014"	"Enabled"	"14k-white-gold-womens-diamond-pendant-0-10-ctw.html"	"/p/0/p0014-1_1.jpg"	"14K White Gold Womens Diamond Heart Pendant 0.10 ctw"	"This 14k white gold women’s diamond heart pendant features a 0.10 carat of round cut bezel set diamond. This lovely diamond pendant comes with a matching white gold chain."	"Diamond Pendant"	"267.0000"	"new"	"800.0000"	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Heart Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/260/s/14k-white-gold-womens-diamond-pendant-0-10-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/0/p0014-1_1.jpg"
"R-662"	"Enabled"	"14k-yellow-gold-womens-bridal-engagement-ring-set-0-60-ctw.html"	"/R/6/R662_1.jpg"	"14K Yellow Gold Diamond Bridal Ring Set 0.60 Ctw"	"This 14k yellow gold diamond wedding ring set with princess cut diamonds features exquisite 0.60 carats of sparkling round cut diamonds set in a prong setting. This wedding set is a true piece of art that is both versatile and attractive. Bring joy to your loved one with this beautiful piece! 

"	"Diamond Ring"	"675.0000"	"new"	"2025.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/263/s/14k-yellow-gold-womens-bridal-engagement-ring-set-0-60-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/6/R662_1.jpg"
"R3783C"	"Enabled"	"14k-rose-gold-womens-diamond-bridal-ring-set-0-96-ctw.html"	"/R/3/R3783C_1.jpg"	"14K Rose Gold Diamond Bridal Ring Set 0.96 Ctw"	"These princess cut to perfection diamonds are invisible set  forming a one of a kind centerpiece dazzling with brilliance gently accentuated by the cluster of princess cut diamonds invisibly set along the shank and offset by classic rosegold topped off with a professional polished finish for a one of a kind diamond engagement ring set complete with a matching wedding band for a truly breathtaking bridal set. The total carat weight of these impressive rings is 0.96 carats. "	"Diamond Ring"	"917.0000"	"new"	"2750.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/266/s/14k-rose-gold-womens-diamond-bridal-ring-set-0-96-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/3/R3783C_1.jpg"
"R5920"	"Enabled"	"14k-rose-gold-mens-diamond-ring-0-57-ctw.html"	"/R/5/R5920_1.JPG"	"14K Rose Gold Mens Diamond Ring 0.57 Ctw"	"Very classy and elegant this  14 karat rose gold diamond ring is poised with true quality and craftsmanship. Three rows of three princess cut diamonds are invisibly set in the middle of the design. In addition,  two princess cut diamonds invisible set on both sides of the center. The center piece measures to  is 3/4 inches (18mm) in width. The average color of these precious stones is G/H with the average clarity of VS1/VS2. Carrying a total carat weight of 0.57 ct, this ring weighs approximately 11 grams. This is an ideal mens ring at a very affordable prince. "	"Diamond Ring"	"792.0000"	"new"	"2375.0000"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"	"http://www.avianneandco.com/store/catalog/product/view/id/267/s/14k-rose-gold-mens-diamond-ring-0-57-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/5/R5920_1.JPG"
"R361"	"Enabled"	"14k-white-gold-diamond-wedding-band-set-0-55-ctw.html"	"/R/3/R361_1.jpg"	"14K White Gold Diamond Wedding Band Set 0.55 ctw"	"This alluring design of style is the perfect addition to your diamond collection! This ring is crafted in 14K white gold. These diamonds are G/H in color and SI1/SI3 in clarity. This exclusive ring features round cut precious stones in a channel setting and the total carat weight of this ring is .55 carats. The middle of the women’s ring measures out to 1/8 inches (3.15mm) in width and men’s measures out to 1/8 inches (3.08mm). The current women’s ring size is 7 1/4 and men’s is 10 1/4. The total gram weight of this featured ring is approximately 6.1grams. "	"Diamond Ring Set"	"492.0000"	"new"	"1475.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/269/s/14k-white-gold-diamond-wedding-band-set-0-55-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/3/R361_1.jpg"
"E007BR"	"Enabled"	"14k-rose-gold-unisex-earrings-0-81-ctw.html"	"/E/0/E007BR_1.JPG"	"14K Rose Gold Blue Diamond Stud Earrings 0.81 Ctw "	"This perfect set of Princess cut diamond stud earrings is held securely in 14k yellow gold with invisibly settings and a tight screw back closure. The brilliant diamond stud earrings feature amazing invisibly set blue in color, SI1/SI2 in clarity precious stones, for a total carat weight of .81 ct. The measurements of the center piece are 1/4 inches (6mm) in width and length, for a total gram weight of approximately 3 grams. Pristine and absolutely mesmerizing, our diamond studs are an everlasting display of beauty and excellence for both men and women."	"Diamond Earring"	"919.0000"	"new"	"2750.0000"	"Root Catalog>Root Catalog>Mens>Root Catalog>Mens>Earrings>Root Catalog>Womens>Root Catalog>Womens>Earrings>Colored Diamond Earrings>Root Catalog>Mens>Earrings>Multi Color Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Stud Earrings>Root Catalog>Mens>Earrings>Mens Diamond Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/270/s/14k-rose-gold-unisex-earrings-0-81-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//E/0/E007BR_1.JPG"
"R252"	"Enabled"	"14k-white-gold-womens-diamond-engagement-ring-1-28-ctw.html"	"/R/2/R252_2.jpg"	"14k White Gold Diamond Engagement Ring 1.28 ctw"	"This gorgeous 14 karat white gold diamond engagement ring is perfect for that one special occasion. The diamonds are G/H in color and SI1/SI2 in clarity. This ring features an invisible, pave, prong and bezel settings. These precious stones are princess and round cut in this regal design, with a total carat weight of 1.28 ctw. This gorgeous ring measures out to 1/4 inches (6mm) in width and is currently sized 6 1/2. The total gram weight of this charming ring is approximately 5.82 grams. "	"Diamond Ring"	"959.0000"	"new"	"2875.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Engagement>Root Catalog>Wedding>Engagement>Princess Cut Engagement Ring"	"http://www.avianneandco.com/store/catalog/product/view/id/273/s/14k-white-gold-womens-diamond-engagement-ring-1-28-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/2/R252_2.jpg"
"14818"	"Enabled"	"14k-white-gold-womens-diamond-wedding-band-0-40-ctw.html"	"/1/4/14818_1.jpg"	"14K White Gold Womens Diamond Wedding Band 0.40 ctw"	"This 14k gold diamond women's wedding band features exquisite 0.40 carats of sparkling round cut diamonds set in lustrous and detailed 14K solid gold. Buy this wonderful gift for the love of your life! "	"Diamond Ring"	"549.0000"	"new"	"1625.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Womens Wedding Bands>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/276/s/14k-white-gold-womens-diamond-wedding-band-0-40-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/4/14818_1.jpg"
"R5445"	"Enabled"	"18k-white-gold-womens-wedding-band-1-25-ctw.html"	"/R/5/R5445_2.JPG"	"18K White Gold Womens Diamond Wedding Band 1.27 Ctw "	"This impressive 18 karat highly polished, white gold diamond ring, is adorned with beautiful round cut diamonds that are pave set in 6 rows of five, complementing the baguette cut invisible set precious diamonds, for a total carat weight of 1.27 carats. The color if these gorgeous diamonds are G/H and the clarity SI1/SI2 for a nice and clean shine. This regal ring measures out to ¼ inches (7mm) in width, for a total gram weight of approximately 6 grams. "	"Diamond Ring"	"825.0000"	"new"	"2475.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Womens Wedding Bands>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/279/s/18k-white-gold-womens-wedding-band-1-25-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/5/R5445_2.JPG"
"R1785"	"Enabled"	"14k-white-gold-womens-diamond-bridal-engagement-ring-set-0-69-ctw.html"	"/R/1/R1785_1.jpg"	"14K White Gold  Diamond Bridal Ring Set 0.79 Ctw"	"This alluring womens diamond bridal ring set is crafted in highly polished 14K White Gold. The engagement ring features invisibly set princess cut diamonds and channel set round cut side stones. The matching wedding band also features small round cut channel set diamonds. These diamonds are H/I in color, SI in clarity and weigh 0.79 carats. Weighing approximately 6.7 grams, these bands gleam with beauty and elegance."	"Diamond Ring"	"659.0000"	"new"	"1975.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/286/s/14k-white-gold-womens-diamond-bridal-engagement-ring-set-0-69-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/1/R1785_1.jpg"
"RM-366"	"Enabled"	"14k-white-gold-diamond-wedding-band-set-0-75-ctw.html"	"/R/M/RM-366_1.JPG"	"14K White Gold Diamond Wedding Band Set 0.75 Ctw "	"These bands are adorned with glistening round and baguette cut diamonds, that are G/H in color, SI1/SI2 In clarity, that are channel set, with the total carat weight of .75 carats for both rings. 1/8 inches ( 4mm) in width, the total gold weight for both rings is approximately 7 grams. Highly polished in a 14 karat white gold frame, these classical wedding bands are ideal for him and her. "	"Diamond Ring Set"	"629.0000"	"new"	"1875.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/292/s/14k-white-gold-diamond-wedding-band-set-0-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/M/RM-366_1.JPG"
"R108"	"Enabled"	"14k-white-gold-womens-diamond-engagement-ring-setting-1-00-ctw.html"	"/R/1/R108_2.jpg"	"14K White Gold Diamond Engagement Ring Setting 1.00 ctw"	"This 14 karat white gold engagement ring diamond setting will have everyone flattering you for your good taste when you show off its intricately designed solid 14 karat gold and brilliant high-quality diamonds. These fabulous diamonds are G/H in color and SI1/SI3 in clarity. This marvelous ring features round cut precious stones in a pave setting. "	"Diamond Ring"	"642.0000"	"new"	"1925.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Engagement>Root Catalog>Wedding>Engagement>Semi Mount Ring Settings"	"http://www.avianneandco.com/store/catalog/product/view/id/296/s/14k-white-gold-womens-diamond-engagement-ring-setting-1-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//R/1/R108_2.jpg"
"R4221B"	"Enabled"	"14k-white-gold-womens-diamond-engagement-ring-0-89-ctw.html"	"/r/4/r4221-1w.jpg"	"14K White Gold Diamond Engagement Ring 0.89 ctw "	"This elegant 14k white gold diamond engagement ring features 0.89 carats of invisible set white princess cut diamonds that sparkle with an everlasting brilliance. This women's ring is the perfect display of commitment and undying love. "	"Diamond Ring"	"500.0000"	"new"	"1500.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Engagement>Root Catalog>Wedding>Engagement>Diamond Engagement Rings>Root Catalog>Wedding>Engagement>Princess Cut Engagement Ring"	"http://www.avianneandco.com/store/catalog/product/view/id/307/s/14k-white-gold-womens-diamond-engagement-ring-0-89-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/4/r4221-1w.jpg"
"14509"	"Enabled"	"14k-white-gold-womens-diamond-wedding-band-0-42-ctw.html"	"/1/4/14509-1.jpg"	"14K White Gold Womens Diamond Wedding Band 0.42 Ctw"	"This classic 14K gold women’s diamond wedding band ring features exquisitly set sparkling round cut diamonds. This ring has a truly beautiful design that will stun that love of your life! "	"Diamond Ring"	"667.0000"	"new"	"2000.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Womens Wedding Bands>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/310/s/14k-white-gold-womens-diamond-wedding-band-0-42-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/4/14509-1.jpg"
"10772"	"Enabled"	"14k-white-gold-mens-diamond-wedding-band-ring-0-90-ctw.html"	"/1/0/10772_2.jpg"	"14K White Gold Mens Diamond Wedding Band 0.90 Ctw"	"This handsome 14K gold men’s diamond wedding band features exquisite 0.90 carats of diamonds set in an invisible setting. A timeless engagement of white diamonds skillfully set in 14K luxurious gold will leave everyone speechless. "	"Diamond Ring"	"759.0000"	"new"	"2250.0000"	"Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Mens Wedding Bands>Root Catalog>Mens>Rings>Mens Diamond Wedding Bands>Root Catalog>Mens>Rings>Mens Diamond Rings>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/311/s/14k-white-gold-mens-diamond-wedding-band-ring-0-90-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/0/10772_2.jpg"
"10376"	"Enabled"	"14k-white-gold-womens-diamond-wedding-band-0-42-ctw-1.html"	"/1/0/10376-1.jpg"	"14K White Gold Womens Diamond Wedding Band 0.25 Ctw"	"This 14K gold women’s diamond wedding Band ring has 0.25 carats of sparkling white round cut diamonds channel set into this beautiful 14k gold frame. Display your good taste and your love with this beautiful ring. "	"Diamond Ring"	"659.0000"	"new"	"1975.0000"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Womens Wedding Bands>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/312/s/14k-white-gold-womens-diamond-wedding-band-0-42-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/0/10376-1.jpg"
"13975"	"Enabled"	"18k-white-gold-womens-diamond-necklace-0-34-ctw.html"	"/1/3/13975_1_1.jpg"	"18K White Gold Womens Diamond Necklace 0.34 Ctw "	"This lovely butterfly womens diamond necklace is crafted from highly polished 18K white gold. 18 Inch white gold chain holds three butterflies which are prong set with brilliant VS1 round cut diamonds. This is a beautiful necklace which portrays femininity and style. "	"Diamond Necklace/Chain"	"589.0000"	"new"	"1750.0000"	"Root Catalog>Root Catalog>Womens>Root Catalog>Womens>Necklaces>Root Catalog>Womens>Necklaces>Diamond Necklaces"	"http://www.avianneandco.com/store/catalog/product/view/id/315/s/18k-white-gold-womens-diamond-necklace-0-34-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//1/3/13975_1_1.jpg"
