"Product Name"	"Manufacturer Name"	"Retsku"	"Categorization"	"Detailed Description "	"Selling Price "	"Availability"	"Regular Price"	"Condition"	"Product URL"	"Image URL"
"Solitaire Oval Cut Sapphire Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R3259 "	"Jewelry & Watches > Fine Jewelry > Rings"	"  A beautiful 0.59ct oval shaped sapphire sits in the center surrounded by brilliant round cut diamonds in a 18k white gold prong setting. The color of the diamonds are G/H and the clarity is SI1/SI2.  "	659	"Yes"	1975	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8169/s/solitaire-oval-cut-sapphire-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r3259a.jpg"
"Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"S40352 "	"Jewelry & Watches > Fine Jewelry > Rings"	"   This 14k white Jewelry & Watches > Fine Jewelry > Rings would make a perfect gift for anyone special in your life. The center of the ring features a pear shaped prong set blue sapphire gemstone. The gemstone is accented by 17 round prong set diamonds that have H/I color and SI2/SI3 clarity.&nbsp;   "	579	"Yes"	1680	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8170/s/sapphire-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//s/4/s40352a.jpg"
"Sapphire and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R3336S "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This beautiful 14k white Jewelry & Watches > Fine Jewelry > Rings features deep blue sapphire gemstones and glittering diamonds. Four princess shaped invisibly set sapphires sit in the center and are accented on each side by round bezel set diamonds. The diamonds have G/H color and SI1/SI2 clarity.  "	379	"Yes"	1140	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8171/s/sapphire-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r3336sa.jpg"
"Ruby and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"MR3984 "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This dazzling 18k white Jewelry & Watches > Fine Jewelry > Rings features 6 channel set, emerald shaped, pink ruby gemstones in the center. The rubies are accented by sparkling, round cut, prong set diamonds on each side. The diamonds have G/H color and VS2/SI1 clarity.  "	729	"Yes"	2190	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8172/s/ruby-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//m/r/mr3984a.jpg"
"Sapphire and Diamond Unique Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R3046"	"Jewelry & Watches > Fine Jewelry > Rings"	"  This 14K white gold unique Jewelry & Watches > Fine Jewelry > Rings features 7 princess channel set blue sapphires in the center that are surrounded by diamonds. There are an additional 48 smaller round pave set sapphires on each sides. The diamonds have G/H color and SI1/SI2 clarity.  "	469	"Yes"	1410	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8173/s/sapphire-and-diamond-unique-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r3046a.jpg"
"Sapphire and Diamond Unique Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"SR11551 "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This fashionable 14k white gold unique Jewelry & Watches > Fine Jewelry > Rings features round pave set blue sapphires and diamonds. The round pave set diamonds have G/H color and SI2/SI3 clarity and create an artistic pattern with the sapphires.  "	319	"Yes"	960	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8174/s/sapphire-and-diamond-unique-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//s/r/sr11551a.jpg"
"Ruby and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R3552R "	"Jewelry & Watches > Fine Jewelry > Rings"	"  This glittering ring showcases both pretty pink ruby gemstones and round and princess shaped diamonds. The princess shaped prong set diamond sits in the middle accented by smaller bezel set round diamonds and round pave set pink rubies. The diamonds have G/H color and VS2/SI1 clarity.  "	479	"Yes"	1440	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8175/s/ruby-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r3552ra.jpg"
"Multi Colored Gemstone Diamond Flower Ring in White Gold"	"Avianne & Co"	"R3940 "	"Jewelry & Watches > Fine Jewelry > Rings"	"  Bursts of color adorn this ring with pink, yellow, green and sparkling white. Green garnet, yellow sapphire and pink sapphire are all prong set and round shaped into flower like designs and are accented by 7 round prong set diamonds. The diamonds have H/I color and SI2/SI3 clarity.  "	209	"Yes"	625	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8176/s/multi-colored-gemstone-diamond-flower-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r3940a.jpg"
"Ruby and Diamond Cluster Gemstone Flower Ring in White Gold"	"Avianne & Co"	"R3417R1 "	"Jewelry & Watches > Fine Jewelry > Rings"	"    Beautiful pink ruby gemstones adorn this 14k white Jewelry & Watches > Fine Jewelry > Rings, accented by white diamonds. These round, prong set, pink ruby gemstones create three flower designs. In the middles of each of the flower sits a glittering round, prong set diamond. The diamonds have G/H color and VS2/SI1 clarity.     "	509	"Yes"	1530	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8177/s/ruby-and-diamond-cluster-gemstone-flower-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r3417r1a.jpg"
"Ruby and Diamond Jewelry & Watches > Fine Jewelry > Rings in White Gold"	"Avianne & Co"	"R4841R "	"Jewelry & Watches > Fine Jewelry > Rings"	"  Four princess shaped invisibly set pink Ruby gemstones sit in the center of this 18k white Jewelry & Watches > Fine Jewelry > Rings. The center gemstones are surrounded by sparkly diamonds and also climb down each side of the band. The round prong set diamonds have G/H color and SI1/SI2 clarity.  "	689	"Yes"	2070	"New"	"http://www.avianneandco.com/store/catalog/product/view/id/8178/s/ruby-and-diamond-gemstone-ring-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//r/4/r4841ra.jpg"
