Unique Merchant SKU	Product Name 	Product URL	Image URL	Current Price	Stock Availability	Condition	MPN/ISBN	UPC or EAN	Shipping Rate	Original Price	Coupon Code	Coupon Code Description	Brand / Manufacturer	Product Description 	Product Type	Category	Category ID
R04109A	18K Yellow Gold Womens Diamond Citrine Ring 0.78 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1259/s/18k-yellow-gold-womens-diamond-gemstone-ring-0-25-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/0/r04109a-1_1.jpg	767	Yes	New				2301			Avianne & Co	This exquisite womens gemstone ring is crafted in highly polished 18K Yellow Gold. The center is bezel set with one citrine stone which totals to 0.53 carats. The stone is highlighted with small round cut diamonds pave set on a white gold frame. This uniquely designed diamond gemstone  ring is an ideal addition to your diamond collection. 			276
R033C	14K White Gold Womens Diamond Gemstone Ring 0.50 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1261/s/14k-white-gold-womens-diamond-ring-0-50-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/0/r033-1.jpg	750	Yes	New				2250			Avianne & Co	This elegant womens diamond multi color gemstone ring is crafted in highly polished 14K White Gold. Pear shape gemstones are prong set win the center and surrounded with brilliant small round cut diamonds. This lovely womens diamond ring is an ideal addition to your diamond collection.			276
R224	18K White Gold Womens Diamond Pearl Ring 0.81 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1264/s/18k-white-gold-womens-diamond-pearl-ring-0-81-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/2/r224-1_1.jpg	1250	Yes	New				3750			Avianne & Co	This exquisite womens diamond ring is crafted in highly polished 18K White Gold. The center features one pearl with pave set round cut diamonds surrounding it. This alluring pearl ring is an ideal addition to your diamond collection. 			276
R01446	18K White Gold Womens Diamond Tanzanite Ring 1.23 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1266/s/18k-white-gold-womens-diamond-ring-0-75-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/0/r01446-1_1.jpg	917	Yes	New				2751			Avianne & Co	This simple yet elegant diamond ring is crafted in highly polished 18K White Gold. The center features a channel set oval shape red tanzanite which total to 0.48 carats. The band is also highlighted with brilliant pave set round cut diamonds which total to 0.75 carats. This white gold womens diamond ring weighs approximately 7.2 grams. 			276
LD2844	18K White Gold Womens Diamond Sapphire Ring 1.52 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1268/s/18k-white-gold-womens-diamond-ring-0-52-ctw/	http://www.avianneandco.com/store/media/catalog/product//l/d/ld2844-1_2.jpg	800	Yes	New				2400			Avianne & Co	This charming womens diamond ring is crafted in 18K White Gold. The center features small round cut blue sapphires and pave set round cut diamonds. This lovely diamond gemstone ring is an ideal fashion accessory for an every day wear.			276
R5857	14K White Gold Womens Diamond Ring 0.59 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1269/s/14k-white-gold-womens-diamond-ring-0-59-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/5/r5857-1.jpg	709	Yes	New				2127			Avianne & Co	This unique womens diamond ring is crafted in highly polished 14K White Gold. The uniquely designed center piece is pave set with numerous small round cut diamonds. The length of the rectangle center piece is 1 1/4 Inches and 1/4 Inches in width. Showcase your modernity with this unique womens diamond ring. 			276
R5941A	14K White Gold Womens Diamond Sapphire Ring 2.70 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1270/s/14k-white-gold-womens-diamond-gemstone-ring-1-22-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/5/r5941a-2_1_1.jpg	1500	Yes	New				4500			Avianne & Co	This exquisite womens diamond gemstone ring is crafted in highly polished 14K White Gold. The center piece is highlighted with brilliant pink round cut sapphires and small round cut diamonds held on pave setting. This uniquely designed gemstone ring is an ideal addition to your diamond collection. 			276
R-434	14K Yellow Gold Womens Diamond Ring 0.73 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1273/s/14k-yellow-gold-womens-diamond-ring-0-73-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/-/r-434-1.jpg	500	Yes	New				1500			Avianne & Co	This simple yet elegant womens diamond ring is crafted in highly polished 14K Yellow Gold. The center piece is highlighted with brilliant baguette cut diamonds held by a channel setting. This alluring womens diamond  ring is an ideal addition to your diamond collection.			276
R1278	14K Yellow Gold Womens Diamond Ring 2.50 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1274/s/14k-yellow-gold-womens-diamond-ring-2-50-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/1/r1278-1.jpg	1250	Yes	New				3750			Avianne & Co	"This exquisite womens diamond ring features rows of channel set baguette cut diamonds. Crafted in lustrous 14K Yellow Gold, this is an ideal cocktail ring for a special night out. "			276
R-463	14K Yellow Gold Womens Diamond Ring 0.30 Ctw	http://www.avianneandco.com/store/catalog/product/view/id/1277/s/14k-yellow-gold-womens-diamond-ring-0-30-ctw/	http://www.avianneandco.com/store/media/catalog/product//r/-/r-463-1.jpg	267	Yes	New				801			Avianne & Co	This simple yet elegant womens diamond ring is crafted in 14K Yellow Gold. The artistic design in the center is channel set with small round cut diamonds. This is an ideal diamond ring at a very affordable price.			276
