"title"	"condition"	"price"	"id"	"link"	"image_link"	"product_type"	"description"	"category"
"14K White Gold Mens Blue and Yellow Diamond Ring 2.27 Ctw"	"new"	"1704.0000"	"R421WBY"	"http://www.avianneandco.com/store/catalog/product/view/id/929/s/14k-white-gold-mens-diamond-ring-2-27-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_159_1.jpg"	"Diamond Ring"	"This 14K white gold mens diamond ring features colored diamonds. The center is invisibly set with two rows of blue princess cut diamonds and one row of white  princess cut diamonds. The sides feature yellow round cut diamonds on a yellow gold pave setting. This mens diamond ring is an ideal diamond accessory which showcases your style and uniqueness. "	"Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Multi Colored Diamond Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"
"14K White Gold Mens Blue Diamond Pinky Ring 2.31 Ctw"	"new"	"1715.0000"	"R-036B"	"http://www.avianneandco.com/store/catalog/product/view/id/930/s/14k-white-gold-mens-diamond-pinky-ring-2-31-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//I/M/IMG_0573.JPG"	"Diamond Ring"	"This exquisite mens diamond pinky ring features brilliant diamonds on a 14K white gold band. The rectangle center piece is invisibly set with brilliant princess cut blue diamonds. Four sides of the center piece are outlines with brilliant pave set round cut diamonds, The round cut diamonds are also pave set half way around the band. This beautiful mens diamond pinky ring is an ideal ring for a special night out."	"Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Mens Diamond Pinky Rings>Root Catalog>Mens>Rings>Multi Colored Diamond Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"
"14K White Gold Mens Diamond Pinky RIng 3.24 Ctw"	"new"	"2500.0000"	"R144"	"http://www.avianneandco.com/store/catalog/product/view/id/931/s/14k-white-gold-mens-diamond-pinky-ring-3-24-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r144-1.jpg"	"Diamond Ring"	"This elegant mens diamond pinky ring is crafted in highly polished 14K white gold. The center piece  is invisibly set with numerous small princess cut diamonds. The center piece is held with seven prongs which are prong set with small round cut diamonds and two hearts on opposite sides which are also prong set with round cut diamonds. This detailed mens diamond pinky ring is an ideal addition to your diamonds collection."	"Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Mens Diamond Pinky Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"
"14K White Gold Mens Yellow Diamond Ring 1.87 Ctw"	"new"	"1589.0000"	"RM298WY"	"http://www.avianneandco.com/store/catalog/product/view/id/932/s/14k-white-gold-mens-diamond-ring-1-82-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//I/M/IMG_0598.JPG"	"Diamond Ring"	"Crafted in 14K white gold, this mens diamond ring has a beautiful and sophisticated appearance. The center piece features invisibly set four princess cut diamonds with two bezel set round cut diamonds on opposite sides. Aside from the center piece which measures to approximately 3/8 inches, the band is highlighted by a number of yellow round cut diamonds on a yellow gold pave setting. This finely detailed mens diamond ring is an ideal accessory for a special night out. "	"Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Multi Colored Diamond Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"
"14K White Gold Mens Yellow and Blue Diamond Ring 1.13 Ctw"	"new"	"839.0000"	"R293WYB"	"http://www.avianneandco.com/store/catalog/product/view/id/933/s/14k-white-gold-mens-diamond-ring-1-13-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_160.jpg"	"Diamond Ring"	"This one of a kind mens diamond ring is crafted in highly polished 14K white gold. The center  features four yellow princess cut diamonds and four blue princess cut diamonds invisibly set in the center of the band. The left and right sides are pave set with white round cut diamonds and two opposite sides of the center piece are pave set with blue and yellow round cut diamonds. Exquisite to the last detail, this mens diamond ring is an ideal diamond accessory for a special night out."	"Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Multi Colored Diamond Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"
"14K White Gold Mens Diamond Ring 1.71 Ctw"	"new"	"1589.0000"	"R202W"	"http://www.avianneandco.com/store/catalog/product/view/id/934/s/14k-white-gold-mens-diamond-ring-1-71-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//i/m/im-1_191.jpg"	"Diamond Ring"	"This exquisite mens diamond ring is crafted in lustrous 14K white gold. The center showcases rows of twenty-four brilliant round cut diamonds held by a prong setting. This elegant mens diamond ring is an ideal diamond accessory for a special night out."	"Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"
"14K White Gold Mens Blue Diamond Ring 2.39 Ctw"	"new"	"1659.0000"	"R156BW"	"http://www.avianneandco.com/store/catalog/product/view/id/951/s/14k-white-gold-mens-diamond-ring-2-39-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/1/r156bw-1.jpg"	"Diamond Ring"	"This masculine mens diamond ring is crafted in lustrous 14K White Gold. The center is invisibly set with princess cut diamonds and pave set with small round cut blue diamonds. This one of a kind mens diamond ring is an ideal accessory for a special night out. "	"Root Catalog>Mens>Root Catalog>Mens>Rings>Root Catalog>Mens>Rings>Multi Colored Diamond Rings>Root Catalog>Mens>Rings>Mens Diamond Rings"
"14K White Gold Womens Diamond Heart Ring 0.23 Ctw"	"new"	"499.0000"	"R3677"	"http://www.avianneandco.com/store/catalog/product/view/id/987/s/14k-white-gold-womens-diamond-heart-ring-0-23-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r3677-1.jpg"	"Diamond Ring"	"This charming womens diamond heart ring is crafted in highly polished 14K white gold. The heart is carved out in the center and surrounded with small prong set round cut diamonds. Small round cut diamonds are pave set a little half way around the band. This lovely womens diamond  ring is an ideal gift at a very affordable price."	"Root Catalog>Womens>Root Catalog>Womens>Rings>Root Catalog>Womens>Rings>Womens Diamond Rings>Root Catalog>Womens>Rings>Womens Diamond Heart Rings"
"18K White Gold Womens Diamond Cocktail Ring 1.87 Ctw"	"new"	"2169.0000"	"LD2785"	"http://www.avianneandco.com/store/catalog/product/view/id/988/s/18k-white-gold-womens-diamond-ring-1-87-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//l/d/ld2785-1.jpg"	"Diamond Ring"	"This exquisite womens diamond cocktail ring is crafted in highly polished 18K white gold. The center is prong set with eight round cut diamonds and surrounded with numerous pave set round cut diamonds.This beautiful womens diamond ring is an ideal ring for a special night out. "	"Root Catalog>Womens>Root Catalog>Womens>Rings>Root Catalog>Womens>Rings>Womens Diamond Rings"
"14K White Gold Womens Diamond Cocktail Ring 2.24 Ctw"	"new"	"1419.0000"	"R4843"	"http://www.avianneandco.com/store/catalog/product/view/id/989/s/14k-white-gold-womens-diamond-ring-2-24-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//I/M/IMG_2381.JPG"	"Diamond Ring"	"This elegant womens diamond cocktail ring is highlighted with brilliant round cut diamonds which are carefully placed on a pave setting. The band of this diamond ring is crafted in 14K white gold and is ideal for a special or casual wear."	"Root Catalog>Womens>Root Catalog>Womens>Rings>Root Catalog>Womens>Rings>Womens Diamond Rings"
