"SKU "	"ProductName "	"Description "	"ItemType"	"MainImageURL "	"length"	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "	"width"	"weight"	"earringback"	"StoneColor1 "	"StoneClarity1"	"StoneShape1"	"category"	"link"	"image_link"
"ER25749"	"Pink and White Swarovski Crystal Ball Bead Earrings"	"Added to our new collection, these beautiful womens ball bead earrings are crafted in silver. The balls are micro set with beautiful white and pink swarovski crystals and they measure to 10 mm in diameter. The frame measures to 1 inches in length and securely locks with push back closure. "	"Gemstone Pendant "	"/e/r/er25749-1.jpg"	"1 Inch"	""	""	""	"Silver"	""	"1000.0000"	"339.0000"	"10 mm - diameter"	"1.0000"	""	""	""	""	""	"http://www.avianneandco.com/store/catalog/product/view/id/9206/s/pink-and-white-swarovski-crystal-ball-bead-earrings/"	"http://www.avianneandco.com/store/media/catalog/product//e/r/er25749-1.jpg"
"ER25751"	"Purple and White Swarovski Crystal Ball Bead Earrings"	"Added to our new collection, these beautiful womens ball bead earrings are crafted in silver. The balls are micro set with beautiful white and purple swarovski crystals and they measure to 12 mm in diameter. The frame measures to 1 inches in length and securely locks with push back closure. "	"Gemstone Pendant "	"/e/r/er25751-1.jpg"	"1 Inch"	""	""	""	"Silver"	""	"1000.0000"	"339.0000"	"12 mm - diameter "	"1.0000"	""	""	""	""	""	"http://www.avianneandco.com/store/catalog/product/view/id/9207/s/purple-and-white-swarovski-crystal-ball-bead-earrings/"	"http://www.avianneandco.com/store/media/catalog/product//e/r/er25751-1.jpg"
"BR25742"	"Shamballa Style Black Onyx Ball Bead Bracelet with Black Swarovski Crystals "	"Stand out and be the center of attention with our new onyx ball bead bracelet which measures to 8 inches in length. The silver ball in the center measures to 14 mm in diameter and features small micro set black swarovski crystals. Eight additional onyx ball beads are placed all the way across the frame. The adjustable red bracelet is detailed with one small onyx stone and one small silver ball. "	"Gemstone Pendant "	"/b/r/br25742-1.jpg"	"8 Inches"	""	""	""	""	""	"2250.0000"	"749.0000"	""	"1.0000"	""	""	""	""	"Root Catalog>Mens>Root Catalog>Mens>Bracelets>Root Catalog>Mens>Bracelets>Onyx Ball Bead Bracelets"	"http://www.avianneandco.com/store/catalog/product/view/id/9209/s/black-onyx-ball-bead-bracelet-with-black-swarovski-crystals/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br25742-1.jpg"
"BR25739"	"Shamballa Style Red Ruby Ball Bead Bracelet "	"Stand out and be the center of attention with our new onyx ball bead bracelet which measures to 8 inches in length. The silver balls measure to 12 mm in diameter and feature small micro set red rubies.  The adjustable black bracelet is detailed with two small black onyx stones. "	"Gemstone Pendant "	"/b/r/br25739-1.jpg"	"8 Inches "	""	""	""	""	""	"3500.0000"	"1169.0000"	""	"1.0000"	""	""	""	""	""	"http://www.avianneandco.com/store/catalog/product/view/id/9211/s/red-ruby-ball-bead-bracelet/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br25739-1.jpg"
"BR25415A"	"Shamballa Style Red Ruby Ball Bead Bracelet "	"Stand out and be the center of attention with our new onyx ball bead bracelet which measures to 8 inches in length. Eleven silver balls measure to 12 mm in diameter and feature small micro set red rubies.  The adjustable black bracelet is detailed with two small balls which are also set with rubies. "	"Gemstone Pendant "	"/b/r/br25415a-1.jpg"	"8 Inches "	""	""	""	""	""	"4500.0000"	"1499.0000"	""	"1.0000"	""	""	""	""	""	"http://www.avianneandco.com/store/catalog/product/view/id/9212/s/red-ruby-ball-bead-bracelet/"	"http://www.avianneandco.com/store/media/catalog/product//b/r/br25415a-1.jpg"
"E2664R "	"Ruby Gemstone Earrings in White Gold"	"Simply gorgeous! Handcrafted in lustrous 18k white gold, these simple yet beautiful earrings features genuine rubies in a invisible setting across the entire frame like a wall."	"Gemstone Pendant "	"/e/2/e2664ra.jpg"	"7/16 Inches (10.9 mm)"	""	"2.11 Ctw"	"White"	"18K Gold"	""	"1320.0000"	"439.0000"	"3/8 Inches (9 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/9583/s/ruby-gemstone-earrings-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//e/2/e2664ra.jpg"
"S21818 "	"Tsavorite Gemstone Earrings in White Gold"	"Meet a class of your own with these bold earrings! Handcrafted in lustrous 14k white gold, these earrings feature a stunning design covered in genuine tsavorite gemstones scattered across the entire frame in a unique pattern."	"Gemstone Pendant "	"/s/2/s21818a_1.jpg"	"1 5/16 Inches (33.2 mm)"	""	"8.02 Ctw"	"White"	"14K Gold"	""	"3390.0000"	"1129.0000"	"13/16 Inches (21.7 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Earrings>Root Catalog>Womens>Earrings>Diamond Fashion Earrings>Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Earrings>Root Catalog>Womens>Earrings>Womens Diamond Earrings"	"http://www.avianneandco.com/store/catalog/product/view/id/9584/s/tsavorite-gemstone-earrings-in-white-gold/"	"http://www.avianneandco.com/store/media/catalog/product//s/2/s21818a_1.jpg"
"CH25814"	"14K Gold Black Rhodim Plated Mens Swarovski Crystal Rosary Chain 93.00 Ctw"	"This exquisite mens rosary chain is crafted in 14K gold and plated in black rhodium. The rosary is prong set with brilliant white and black swarovski crystals which total to 93.00 carats. The 6 inch drop length features one cross which measures to 1.5 inches in length and 1 inches in width. Weighing 104.3 grams, this one of a kind mens rosary chain guarantees any bystanders attention. "	"Gemstone Pendant "	"/c/h/ch25814-4.jpg"	"31 Inches + 6 Inch drop length"	""	"93.00 Ctw "	"Black Rhodium Plated"	"14K Gold"	""	"27500.0000"	"9169.0000"	""	"1.0000"	""	""	""	""	"Root Catalog>Mens>Root Catalog>Mens>Chains>Root Catalog>Mens>Chains>Diamond Rosary Chains>Root Catalog>Mens>Chains>Mens Diamond Chains"	"http://www.avianneandco.com/store/catalog/product/view/id/9661/s/14k-gold-black-rhodim-plated-mens-swarovski-crystal-rosary-chain-93-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//c/h/ch25814-4.jpg"
"P25868"	"14K Yellow Gold Mens Sapphire Tie Clip 0.50 Ctw"	"This one of a kind mens tie clip is handcrafted in lustrous 14K yellow gold. The pendant is set with one star sapphire which totals to 0.50 carats. The frame measures to 2.5 inches in length and 1/2 inches in width. Weighing 18.5 grams, this tie clip guarantees any bystanders attention. "	"Gemstone Pendant "	"/p/2/p25868-2.jpg"	"2 1/2 Inches"	""	"0.50 Ctw"	"Yellow"	"14K Gold"	""	"5500.0000"	"1839.0000"	"1/2 Inches (12 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Mens>Root Catalog>Mens>Pendants>Root Catalog>Mens>Pendants>Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/9940/s/14k-yellow-gold-mens-sapphire-tie-clip-0-50-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25868-2.jpg"
"P25882"	"14K White Gold Womens Amethyst Cross Pendant 3.50 Ctw"	"This exquisite womens cross pendant is crafted in 14K white gold. The frame measures to 1 1/2 inches in length and 3/4 inches in width. Six baguette cut purple amethyst are placed across the frame and total to 3.50 carats. Weighing 3.4 grams, this pendant comes with a matching 18 inch 14k white gold chain. "	"Gemstone Pendant "	"/p/2/p25882-1.jpg"	"1 1/2 Inches "	""	"3.50 Ctw"	"White"	"14K Gold"	""	"1500.0000"	"499.0000"	"3/4 Inches (19 mm)"	"1.0000"	""	""	""	""	"Root Catalog>Womens>Root Catalog>Womens>Pendants>Root Catalog>Womens>Pendants>Womens Diamond Crosses >Root Catalog>Womens>Gemstone Jewelry>Root Catalog>Womens>Gemstone Jewelry>Gemstone Pendants>Root Catalog>Womens>Pendants>Womens Diamond Pendants"	"http://www.avianneandco.com/store/catalog/product/view/id/10296/s/14k-white-gold-womens-amethyst-cross-pendant-3-50-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//p/2/p25882-1.jpg"
